Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,03UAFYO,439.425,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
1,03VAFYO,145.65,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
2,06UANKA,439.175,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
3,06UANKA,439.25,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
4,06UANKA,439.4,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
5,06VANKA,145.65,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
6,06VANKA,145.675,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
7,06VANKA,145.775,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
8,07UADAN,439.275,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
9,07UADAN,439.375,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
10,07UADAN,439.425,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
11,07VADAN,145.6125,-,0.6,TSQL,88.5,88.5,23,NN,NFM,5.0,,,,,,
12,07VADAN,145.65,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
13,07VADAN,145.7,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
14,09UAMAS,439.15,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
15,09UAMAS,439.2,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
16,09UAMAS,439.225,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
17,09UAMAS,439.275,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
18,09UAMAS,439.375,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
19,09UAMAS,439.4,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
20,09UAMAS,439.4,-,7.6,,88.5,88.5,23,NN,FM,5.0,,,,,,
21,09UAMAS,439.425,-,7.6,TSQL,67.0,67.0,23,NN,FM,5.0,,,,,,
22,09VAMAS,145.65,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
23,09VAMAS,145.775,-,0.6,TSQL,67.0,67.0,23,NN,FM,5.0,,,,,,
24,10UIZMI,439.225,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
25,10UIZMI,439.375,-,7.6,Tone,77.0,88.5,23,NN,FM,5.0,,,,,,
26,10VIZMI,145.65,-,0.6,Tone,114.8,88.5,23,NN,FM,5.0,,,,,,
27,10VIZMI,145.675,-,0.6,TSQL,77.0,77.0,23,NN,FM,5.0,,,,,,
28,10VIZMI,145.75,-,0.6,TSQL,67.0,67.0,23,NN,FM,5.0,,,,,,
29,11UISTN,439.425,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
30,11VISTN,145.725,-,0.6,Tone,100.0,88.5,23,NN,FM,5.0,,,,,,
31,11VISTN,145.725,-,0.6,Tone,114.8,88.5,23,NN,FM,5.0,,,,,,
32,11VISTN,145.75,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
33,14UBURS,439.4,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
34,14VBURS,145.625,-,0.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
35,14VBURS,145.725,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
36,15UKAYS,439.15,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
37,15VKAYS,145.775,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
38,16UKOCA,439.175,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
39,16UKOCA,439.375,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
40,16UKOCA,439.4,-,7.6,TSQL,88.5,88.5,23,NN,NFM,5.0,,,,,,
41,16VKOCA,145.625,-,0.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
42,16VKOCA,145.65,-,0.6,TSQL,77.0,77.0,23,NN,FM,5.0,,,,,,
43,16VKOCA,145.675,-,0.6,TSQL,67.0,67.0,23,NN,FM,5.0,,,,,,
44,16VKOCA,145.7,-,0.6,TSQL,114.8,114.8,23,NN,NFM,5.0,,,,,,
45,16VKOCA,145.725,-,0.6,TSQL,77.0,77.0,23,NN,NFM,5.0,,,,,,
46,16VKOCA,145.75,-,0.6,TSQL,77.0,77.0,23,NN,FM,5.0,,,,,,
47,16VKOCA,145.775,-,0.6,TSQL,114.8,114.8,23,NN,FM,5.0,,,,,,
48,17UKIRK,439.15,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
49,17UKIRK,439.275,-,7.6,Tone,67.0,88.5,23,NN,FM,5.0,,,,,,
50,20UIZMI,439.25,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
51,20VIZMI,145.6,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
52,22VANKA,145.775,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
53,26UKAYS,439.2,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
54,26VKAYS,145.6,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
55,26VKAYS,145.7,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
56,32UKOCA,439.225,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
57,32UKOCA,439.4,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
58,32VKOCA,145.675,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
59,34UBURS,439.15,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
60,34UBURS,439.2,-,7.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
61,34UBURS,439.25,-,7.6,TSQL,94.8,94.8,23,NN,FM,5.0,,,,,,
62,34UBURS,439.375,-,7.6,Cross,67.0,100.0,23,NN,NFM,5.0,,,,,,
63,34UBURS,439.375,-,7.6,Cross,67.0,71.9,23,NN,NFM,5.0,,,,,,
64,34UBURS,439.375,-,7.6,TSQL,67.0,67.0,23,NN,NFM,5.0,,,,,,
65,34UBURS,439.4,-,7.6,Tone,123.0,88.5,23,NN,FM,5.0,,,,,,
66,34VBURS,145.675,-,0.6,Tone,88.5,88.5,23,NN,FM,5.0,,,,,,
67,34VBURS,145.7125,-,0.6,Tone,100.0,88.5,23,NN,NFM,5.0,,,,,,
68,34VBURS,145.775,-,0.6,TSQL,67.0,67.0,23,NN,FM,5.0,,,,,,
69,35VIZMI,439.175,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
70,35UIZMI,439.2,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
71,35UIZMI,439.225,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
72,35UIZMI,439.25,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
73,35UIZMI,439.275,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
74,35UIZMI,439.375,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
75,35UIZMI,439.4,-,7.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
76,35VIZMI,145.675,-,0.6,TSQL,88.5,88.5,23,NN,FM,5.0,,,,,,
77,39UISTN,439.225,-,7.6,Tone,82.5,88.5,23,NN,FM,5.0,,,,,,
78,41USAKR,439.15,-,7.6,Tone,77.0,88.5,23,NN,FM,5.0,,,,,,
79,41USAKR,439.2,-,7.6,TSQL,77.0,77.0,23,NN,FM,5.0,,,,,,
